,scheme_code,scheme_name,nav_start,date_start,nav_end,date_end,nav_growth_abs,nav_growth_pct
68,119279,,17.4457,2025-05-20,35.8281,2026-05-18,18.3824,105.37
69,112293,,16.2281,2025-05-20,33.1099,2026-05-18,16.8818,104.03
70,112347,INF740K01AL8,14.6809,2025-05-20,29.953,2026-05-18,15.2721,104.03
71,119280,INF740K01PH4,16.5732,2025-05-20,32.3597,2026-05-18,15.7865,95.25
72,150642,,17.292,2025-05-20,33.4603,2026-05-19,16.1683,93.5
73,150641,,17.1303,2025-05-20,33.0347,2026-05-19,15.9044,92.84
74,149455,,16.8998,2025-05-20,31.7682,2026-05-18,14.8684,87.98
75,149458,INF109KC1Z71,16.9003,2025-05-20,31.7676,2026-05-18,14.8673,87.97
76,150595,,9.698,2025-05-20,18.229,2026-05-19,8.531,87.97
77,150594,,9.579,2025-05-20,17.956,2026-05-19,8.377,87.45
78,149456,,16.3732,2025-05-20,30.497,2026-05-18,14.1238,86.26
79,149457,INF109KC1Z48,16.3727,2025-05-20,30.4915,2026-05-18,14.1188,86.23
80,145552,,37.884,2025-05-20,69.0886,2026-05-19,31.2046,82.37
81,145551,,36.9427,2025-05-20,67.115,2026-05-19,30.1723,81.67
82,153812,,10.309,2025-09-01,18.339,2026-05-19,8.03,77.89
83,153813,INF769K01PN1,10.309,2025-09-01,18.338,2026-05-19,8.029,77.88
84,153814,,10.308,2025-09-01,18.26,2026-05-19,7.952,77.14
85,153815,INF769K01PK7,10.308,2025-09-01,18.256,2026-05-19,7.948,77.11
86,140327,,17.7012,2025-05-20,30.4887,2026-05-18,12.7875,72.24
87,120043,,22.2335,2025-05-20,38.0354,2026-05-18,15.8019,71.07
88,140328,,16.3147,2025-05-20,27.8611,2026-05-18,11.5464,70.77
89,107988,,20.3507,2025-05-20,34.6204,2026-05-18,14.2697,70.12
90,107693,,77.2518,2025-05-20,130.8055,2026-05-19,53.5537,69.32
91,115127,,82.5918,2025-05-20,138.7717,2026-05-19,56.1799,68.02
92,113076,,80.4567,2025-05-20,135.1186,2026-05-19,54.6619,67.94
93,119275,,19.0821,2025-05-20,32.0361,2026-05-18,12.954,67.89
94,106193,,78.4973,2025-05-20,131.7246,2026-05-19,53.2273,67.81
95,113049,,80.3813,2025-05-20,134.8529,2026-05-19,54.4716,67.77
96,115132,,36.1612,2025-05-20,60.6581,2026-05-19,24.4969,67.74
97,151737,,91.3736,2025-05-20,153.2571,2026-05-19,61.8835,67.73
98,113434,,78.4826,2025-05-20,131.5472,2026-05-19,53.0646,67.61
99,111954,,80.3131,2025-05-20,134.5894,2026-05-19,54.2763,67.58
100,151416,,91.4932,2025-05-20,153.3286,2026-05-19,61.8354,67.58
101,140088,,77.9668,2025-05-20,130.5759,2026-05-19,52.6091,67.48
102,150714,,18.1584,2025-05-20,30.4019,2026-05-19,12.2435,67.43
103,153011,,12.3675,2025-05-20,20.6935,2026-05-19,8.326,67.32
104,120545,,28.4319,2025-05-20,47.5612,2026-05-19,19.1293,67.28
105,120546,,28.4326,2025-05-20,47.5628,2026-05-19,19.1302,67.28
106,105463,,79.4499,2025-05-20,132.8534,2026-05-19,53.4035,67.22
107,119780,INF174K01MR2,38.1621,2025-05-20,63.8134,2026-05-19,25.6513,67.22
108,119781,,38.1624,2025-05-20,63.814,2026-05-19,25.6516,67.22
109,152193,,94.2759,2025-05-20,157.6066,2026-05-19,63.3307,67.18
110,119132,,29.4598,2025-05-20,49.2486,2026-05-19,19.7888,67.17
111,119788,,28.8736,2025-05-20,48.2678,2026-05-19,19.3942,67.17
112,119789,INF200K01RO1,28.8321,2025-05-20,48.1984,2026-05-19,19.3663,67.17
113,120685,,30.211,2025-05-20,50.5023,2026-05-19,20.2913,67.17
114,120686,INF109K01U84,30.2138,2025-05-20,50.5071,2026-05-19,20.2933,67.17
115,152231,,91.4075,2025-05-20,152.7362,2026-05-19,61.3287,67.09
116,141064,,35.7705,2025-05-20,59.754,2026-05-19,23.9835,67.05
